,item number,data item,croydon text,croydon main reason for recording data item,essex text,essex main reason for recording local data item,sutton text,sutton main reason for recording local data item,camden text,camden main reason for recording local data item
1251,Item 1234,CLA Review information sharing agreement,,,,,,,Consent to information sharing (Parent/Carer/Young person),1. For social work practitioners and/or the child/YP
1252,Item 1235,Next action from CLA Review,,,,,,,Next action,1. For social work practitioners and/or the child/YP
1253,Item 1236,Next action from CLA review assignee,,,,,,,Assigned to,1. For social work practitioners and/or the child/YP
1254,Item 1237,Next action from CLA Review reason,,,,,,,Reason,1. For social work practitioners and/or the child/YP
1255,Item 1238,Next action from CLA Review Note,,,,,,,Note,1. For social work practitioners and/or the child/YP
1256,Item 1239,Next action from CLA Review priority,,,,,,,Set priority,1. For social work practitioners and/or the child/YP
1257,Item 1240,Next action from CLA Review Send immediately?,,,,,,,Send Immediately?,
1267,Item 1249,Care plan What needs to change to meet the child's needs (outcome),,,,,,,Care plan What needs to change to meet the child's needs (outcome),1. For social work practitioners and/or the child/YP
1268,Item 1250,Care plan: What actions will be taken,,,,,,,Care plan What actions will be taken,1. For social work practitioners and/or the child/YP
1269,Item 1251,Care plan: Who will be responsible,,,,,,,Care plan Who will be responsible,1. For social work practitioners and/or the child/YP
1270,Item 1252,Care plan: When does it need to be done,,,,,,,Care plan When does it need to be done,1. For social work practitioners and/or the child/YP
1271,Item 1253,How will we know if the care plan is working?,,,,,,,How will we know if the care plan is working (outcomes)?,1. For social work practitioners and/or the child/YP
1272,Item 1254,What to do if the care plan isn't working?,,,,,,,What actions will be taken if the care plan does not work or cannot be carried out (contingency plan)?,1. For social work practitioners and/or the child/YP
1273,Item 1255,Progress on Care plan What needs to change to meet the child's needs (outcome),,,,,,,Progress on Care plan What needs to change to meet the child's needs (outcome),1. For social work practitioners and/or the child/YP
1274,Item 1256,Progress on Care plan What actions will be taken,,,,,,,Progress on Care plan What actions will be taken,1. For social work practitioners and/or the child/YP
1275,Item 1257,Progress on Care plan Who will be responsible,,,,,,,Progress on Care plan Who will be responsible,1. For social work practitioners and/or the child/YP
1276,Item 1258,Progress on Care plan When does it need to be done,,,,,,,Progress on Care plan When does it need to be done,1. For social work practitioners and/or the child/YP
1277,Item 1259,Progress on Care plan Progress,,,,,,,Progress on Care plan Progress,1. For social work practitioners and/or the child/YP
1278,Item 1260,Permanence Plan: What needs to change to meet the child's needs (outcome),,,,,,,Permanence Plan What needs to change to meet the child's needs (outcome),1. For social work practitioners and/or the child/YP
1279,Item 1261,Permanence Plan: What actions will be taken,,,,,,,Permanence Plan What actions will be taken,1. For social work practitioners and/or the child/YP
1280,Item 1262,Permanence Plan: Who will be responsible,,,,,,,Permanence Plan Who will be responsible,1. For social work practitioners and/or the child/YP
1281,Item 1263,Permanence Plan: When does it need to be done,,,,,,,Permanence Plan When does it need to be done,1. For social work practitioners and/or the child/YP
1282,Item 1264,Permanence Plan: Progress,,,,,,,Permanence Plan Progress,1. For social work practitioners and/or the child/YP
1283,Item 1265,Health Plan: What needs to change to meet the child's needs (outcome),,,,,,,Health Plan What needs to change to meet the child's needs (outcome),1. For social work practitioners and/or the child/YP
1284,Item 1266,Health Plan: What actions will be taken,,,,,,,Health Plan What actions will be taken,1. For social work practitioners and/or the child/YP
1285,Item 1267,Health Plan: Who will be responsible,,,,,,,Health Plan Who will be responsible,1. For social work practitioners and/or the child/YP
1286,Item 1268,Health Plan: When does it need to be done,,,,,,,Health Plan When does it need to be done,1. For social work practitioners and/or the child/YP
1287,Item 1269,Health Plan: Progress,,,,,,,Health Plan Progress,1. For social work practitioners and/or the child/YP
1288,Item 1270,PEP: What needs to change to meet the child's needs (outcome),,,,,,,PEP What needs to change to meet the child's needs (outcome),1. For social work practitioners and/or the child/YP
1289,Item 1271,PEP: What actions will be taken,,,,,,,PEP What actions will be taken,1. For social work practitioners and/or the child/YP
1290,Item 1272,PEP: Who will be responsible,,,,,,,PEP Who will be responsible,1. For social work practitioners and/or the child/YP
1291,Item 1273,PEP: When does it need to be done,,,,,,,PEP When does it need to be done,1. For social work practitioners and/or the child/YP
1292,Item 1274,PEP: Progress,,,,,,,PEP Progress,2. For management oversight of case decisions and accountability purposes
1293,Item 1275,PEP: How will the pupil premium be used to support this action	,,,,,,,PEP How will the pupil premium be used to support this action	,1. For social work practitioners and/or the child/YP
1294,Item 1276,Will this child remain subject to an exploitation plan?,,,,,,,Will this child remain subject to an exploitation plan?,1. For social work practitioners and/or the child/YP
1295,Item 1277,"If No, what date did exploitation planning end?",,,,,,,"If No, what date did exploitation planning end?",3. For LA reporting purposes and generating performance indicators
1296,Item 1278,Exploitation plan: What needs to change to meet the child's needs (outcome),,,,,,,Exploitation plan What needs to change to meet the child's needs (outcome),1. For social work practitioners and/or the child/YP
1297,Item 1279,Exploitation plan: What actions will be taken,,,,,,,Exploitation plan What actions will be taken,1. For social work practitioners and/or the child/YP
1298,Item 1280,Exploitation plan: Who will be responsible,,,,,,,Exploitation plan Who will be responsible,1. For social work practitioners and/or the child/YP
1299,Item 1281,Exploitation plan: When does it need to be done,,,,,,,Exploitation plan When does it need to be done,1. For social work practitioners and/or the child/YP
1300,Item 1282,Pathway Plan - only to be completed when child transitions to 16+ What needs to change to meet the child's needs (outcome),,,,,,,Pathway Plan - only to be completed when child transitions to 16+ What needs to change to meet the child's needs (outcome),1. For social work practitioners and/or the child/YP
1301,Item 1283,Pathway Plan - only to be completed when child transitions to 16+ What actions will be taken,,,,,,,Pathway Plan - only to be completed when child transitions to 16+ What actions will be taken,1. For social work practitioners and/or the child/YP
1302,Item 1284,Pathway Plan - only to be completed when child transitions to 16+ Who will be responsible,,,,,,,Pathway Plan - only to be completed when child transitions to 16+ Who will be responsible,1. For social work practitioners and/or the child/YP
1303,Item 1285,Pathway Plan - only to be completed when child transitions to 16+ When does it need to be done,,,,,,,Pathway Plan - only to be completed when child transitions to 16+ When does it need to be done,1. For social work practitioners and/or the child/YP
1304,Item 1286,Does the worker think a child sexual exploitation risk assessment is useful in this case?,,,,,,,Do you think a CSE Risk Assessment may be useful in this case?,1. For social work practitioners and/or the child/YP
1305,Item 1287,"For young people aged 16/17 who have recently become looked after, has a matching and linking report been completed?",,,,,,,"For young people aged 16/17 who have recently become looked after, has a matching and linking report been completed?",3. For LA reporting purposes and generating performance indicators
1306,Item 1288,"For children under 16, has the child's Form E been completed?",,,,,,,"For children under 16, has the child's Form E been completed?",3. For LA reporting purposes and generating performance indicators
1307,Item 1289,Has the Criteria meeting been held?,,,,,,,Has the Criteria meeting been held?,3. For LA reporting purposes and generating performance indicators
1308,Item 1290,Has the Family Finder completed the matching report?,,,,,,,Has the Family Finder completed the matching report?,3. For LA reporting purposes and generating performance indicators
1309,Item 1291,Does the review indicate the permanency plan needs to change?,,,,,,,Does the child’s permanence plan need to change?,1. For social work practitioners and/or the child/YP
1310,Item 1292,What does the review suggest is an alternative for the permanency plan?,,,,,,,"If yes, please explain why and recommendations for an alternative permanence plan",1. For social work practitioners and/or the child/YP
1311,Item 1293,Timescale and person responsible for changing permanency plan?,,,,,,,"Does the plan need to be changed and if so what changes are recommended? Include actions, timescales and who is responsible",1. For social work practitioners and/or the child/YP
1312,Item 1294,Does the child's plan include planned short-term breaks?,,,,,,,Does the child's plan include planned short-term breaks?,3. For LA reporting purposes and generating performance indicators
1315,Item 1297,Updated CLA assessment,,,,,,,Updated assessment,1. For social work practitioners and/or the child/YP
1354,Item 1334,Reason for discharge from care,,,,,,,Reason ceased to be looked after,
1355,Item 1335,Date to discharge from care,,,,,,,"


Date to be discharged from care (if known)",
1356,Item 1336,Has the DWP been informed the Child/Young Person is being discharge from care,,,,,,,Has the DWP been informed that the child is being /has been discharged from care,2. For management oversight of case decisions and accountability purposes
1357,Item 1337,Has the computer system been updated in light of the child leaving care?,,,,,,,Have any future LAC reviews been cancelled on the system?,1. For social work practitioners and/or the child/YP
1358,Item 1338,Date child turns 18,,,,,,,"


Date child turns 18",3. For LA reporting purposes and generating performance indicators
1362,Item 1342,Next action for child leaving care,,,,1. For social work practitioners and/or the child/YP,,,Next action,2. For management oversight of case decisions and accountability purposes
1363,Item 1343,Assignees for actions on child leaving care,,,,,,,Assigned to,2. For management oversight of case decisions and accountability purposes
1364,Item 1344,reason for next action for child leaving care,,,,,,,Reason,2. For management oversight of case decisions and accountability purposes
1365,Item 1345,Notes on next action for child leaving care,,,,,,,Note,2. For management oversight of case decisions and accountability purposes
1366,Item 1346,Priority for action for child leaving care,,,,,,,Set priority,1. For social work practitioners and/or the child/YP
1367,Item 1347,Status of actions on child leaving care,,,,,,,Status,3. For LA reporting purposes and generating performance indicators
1438,Item 1416,Young person CLA Agreement date,,,,,,,Young person Date,2. For management oversight of case decisions and accountability purposes
1439,Item 1417,Parental responsibility person name,,,,,,,Parent (or person with parental responsibility) Name,2. For management oversight of case decisions and accountability purposes
1441,Item 1419,Parental responsibility consent,,,,,,,Parent (or person with parental responsibility) I/we consent to,2. For management oversight of case decisions and accountability purposes
1442,Item 1420,Consent by parents  I/we consent to,,,,,,,Consent by parents  I/we consent to,2. For management oversight of case decisions and accountability purposes
1443,Item 1421,Parental responsibility agreement,,,,,,,Parent (or person with parental responsibility) I/we understand that we retain parental responsibility for my/our child and would like to be consulted on the following aspects of their care.,2. For management oversight of case decisions and accountability purposes
1446,Item 1424,"Residential worker, foster carer or housing pathway keyworker Name",,,,,,,"Residential worker, foster carer or housing pathway keyworker Name",2. For management oversight of case decisions and accountability purposes
1447,Item 1425,"Residential worker, foster carer or housing pathway keyworker Date",,,,,,,"Residential worker, foster carer or housing pathway keyworker Date",2. For management oversight of case decisions and accountability purposes
1449,Item 1427,Social worker CLA agreement date,,,,,,,Social Worker Date,2. For management oversight of case decisions and accountability purposes
1475,Item 1452,People seen relationship,,,,,,,Persons Seen Relationship,1. For social work practitioners and/or the child/YP
1486,Item 1463,SW completing visit,,,,1. For social work practitioners and/or the child/YP,,,Visit completed by ,1. For social work practitioners and/or the child/YP
1488,Item 1465,Next actions from CLA Visit,,,,1. For social work practitioners and/or the child/YP,,,Next action,1. For social work practitioners and/or the child/YP
1489,Item 1466,Set priority for actions from CLA visit,,,,,,,Set priority,1. For social work practitioners and/or the child/YP
1490,Item 1467,Notes on actions from CLA Visit,,,,,,,Note,1. For social work practitioners and/or the child/YP
1491,Item 1468,Send immediately for actions from CLA Visit,,,,,,,Send Immediately?,
1492,Item 1469,Pass actions from CLA Visit to worker,,,,,,,Pass to worker,1. For social work practitioners and/or the child/YP
1507,Item 1482,What aspects of day to day have not been delegated to the carer?,,,,,,,What aspects of day to day have not been delegated to the carer?,1. For social work practitioners and/or the child/YP
1537,Item 1512,Head of service consent for medical treatments,,,,,,,Consent by the Head of Service for CLA for medical treatment I confirm that,2. For management oversight of case decisions and accountability purposes
1538,Item 1513,Head of service specific treatment consent,,,,,,,"Consent by the Director for CLA for medical treatment As their corporate parent, I consent to the child receiving the above-mentioned medical treatment for as long as the care order is in place and delegate responsibility for decisions to",2. For management oversight of case decisions and accountability purposes
1539,Item 1514,Person with parental responsibility medical consent,,,,,,,Parent (or other person with PR) consent regarding child's health information,2. For management oversight of case decisions and accountability purposes
1540,Item 1515,"Medical consent by carer, residential worker",,,,,,,To be signed by foster carer or residential worker for child subject to an ICO or Full Care Order PROFESSIONAL DESIGNATION,2. For management oversight of case decisions and accountability purposes
1557,Item 1531,"If the review was not held within timescales, identify the reason",,,,,,,"If the review was not held within timescales, identify the reason",3. For LA reporting purposes and generating performance indicators
1558,Item 1532,Were all significant people consulted / involved in preparing for the review meeting?,,,,,,,Were all significant people consulted / involved in preparing for the review meeting?,2. For management oversight of case decisions and accountability purposes
1559,Item 1533,Have carers completed the consultation booklets?,,,,,,,Have carers completed the consultation booklets?,2. For management oversight of case decisions and accountability purposes
1560,Item 1534,Did the Social Worker attend the review?,,,,,,,Did the Social Worker attend the review?,2. For management oversight of case decisions and accountability purposes
1561,Item 1535,"If applicable, did the supervising Social Worker attend the review?",,,,,,,"If applicable, did the supervising Social Worker attend the review?",2. For management oversight of case decisions and accountability purposes
1562,Item 1536,"If applicable, did the adoption Social Worker attend the review?",,,,,,,"If applicable, did the adoption Social Worker attend the review?",2. For management oversight of case decisions and accountability purposes
1563,Item 1537,Any other information about the appropriateness of the placement in relation to race / religion / culture / language,,,,,,,Any other information about the appropriateness of the placement in relation to race / religion / culture / language,1. For social work practitioners and/or the child/YP
1564,Item 1538,Is there anything else which could have been done to meet the young person’s needs (including disability / race / religion / cultural / language issues)?,,,,,,,Is there anything else which could have been done to meet the young person’s needs (including disability / race / religion / cultural / language issues)?,1. For social work practitioners and/or the child/YP
1568,Item 1542,"If the child / young person attended describe how they were supposed to contribute. If they did not attend, please record why",,,,1. For social work practitioners and/or the child/YP,,,"If the child / young person attended describe how they were supposed to contribute. If they did not attend, please record why",2. For management oversight of case decisions and accountability purposes
1569,Item 1543,Child / young person consulted on issues related to review meeting,,,,,,,Child / young person consulted on issues related to review meeting,2. For management oversight of case decisions and accountability purposes
1570,Item 1544,"If the child / young person was not consulted, explain why",,,,,,,"If the child / young person was not consulted, explain why",2. For management oversight of case decisions and accountability purposes
1571,Item 1545,How were the birth mother's views obtained?,,,,,,,How were the birth mother's views obtained?,2. For management oversight of case decisions and accountability purposes
1572,Item 1546,How were the birth father's views obtained?,,,,,,,How were the birth father's views obtained?,2. For management oversight of case decisions and accountability purposes
1573,Item 1547,"If applicable, has a Permanence Plan been agreed by the four month review?",,,,,,,"If applicable, has a Permanence Plan been agreed by the four month review?",3. For LA reporting purposes and generating performance indicators
1574,Item 1548,Does the young person have an exit plan?,,,,,,,Does the young person have an exit plan?,1. For social work practitioners and/or the child/YP
1575,Item 1549,"If applicable, was the review combined with an Annual Education Review?",,,,,,,"If applicable, was the review combined with an Annual Education Review?",2. For management oversight of case decisions and accountability purposes
1576,Item 1550,"If applicable, has a Life Story Book been given to adopters by the first review of placement?",,,,,,,"If applicable, has a Life Story Book been given to adopters by the first review of placement?",2. For management oversight of case decisions and accountability purposes
1577,Item 1551,OC2 substance misuse information Does the child / young person have a substance misuse problem?,,,,,,,OC2 substance misuse information Does the child / young person have a substance misuse problem?,3. For LA reporting purposes and generating performance indicators
1578,Item 1552,OC2 substance misuse information Does the child / young person receive intervention for any substance misuse problem?,,,,,,,OC2 substance misuse information Does the child / young person receive intervention for any substance misuse problem?,
1579,Item 1553,OC2 substance misuse information Was the child / young person offered intervention but refused it?,,,,,,,OC2 substance misuse information Was the child / young person offered intervention but refused it?,
1580,Item 1554,OC2 substance misuse information Is the child / young person involved with guns or gangs?,,,,,,,OC2 substance misuse information Is the child / young person involved with guns or gangs?,3. For LA reporting purposes and generating performance indicators
1581,Item 1555,OC2 substance misuse information Is there a sexual exploitation issue for the child / young person?,,,,,,,OC2 substance misuse information Is there a sexual exploitation issue for the child / young person?,3. For LA reporting purposes and generating performance indicators
1582,Item 1556,OC2 substance misuse information Is there a mental health issue for the child / young person?,,,,,,,OC2 substance misuse information Is there a mental health issue for the child / young person?,3. For LA reporting purposes and generating performance indicators
1583,Item 1557,OC2 substance misuse information Is the child / young person involved in absconding / going missing from home?,,,,,,,OC2 substance misuse information Is the child / young person involved in absconding / going missing from home?,3. For LA reporting purposes and generating performance indicators
1584,Item 1558,ls there an up to date Child / Young Person's Plan?,,,,,,,ls there an up to date Child / Young Person's Plan?,3. For LA reporting purposes and generating performance indicators
1585,Item 1559,Is there an up to date Care Plan?,,,,,,,Is there an up to date Care Plan?,3. For LA reporting purposes and generating performance indicators
1586,Item 1560,Is there an up to date Child Protection Plan?,,,,,,,Is there an up to date Child Protection Plan?,3. For LA reporting purposes and generating performance indicators
1587,Item 1561,Is there an up to date Personal Education Plan?,,,,,,,Is there an up to date Personal Education Plan?,3. For LA reporting purposes and generating performance indicators
1588,Item 1562,Is IRO satisfied with current Pathway Plan?,,,,,,,Is IRO satisfied with current Pathway Plan?,2. For management oversight of case decisions and accountability purposes
1589,Item 1563,Is the child / young person attending school?,,,,,,,Is the child / young person attending school?,3. For LA reporting purposes and generating performance indicators
1590,Item 1564,"
Reason for child not attending school",,,,,,,"
Reason for child not attending school",3. For LA reporting purposes and generating performance indicators
